SaleID,StoreID,ProductID,Date,Quantity,Price,Discount,TotalAmount,City,State,Manager,StaffCount,Area_sqft,StoreName,Category,SubCategory,Brand,BasePrice,Stock,ProductName
13,104,964,2022-01-01 12:00:00,15,2045.98,0.1,27620.73,Kolkata,Maharashtra,Manager_104,38,3844,Store_104,Kidswear,Jewelry,Urbano,4372.17,436,Product_964
14,131,897,2022-01-01 13:00:00,8,4415.16,0.25,26490.96,Kolkata,Maharashtra,Manager_131,36,2862,Store_131,Kidswear,Bags,Urbano,4391.64,301,Product_897
15,150,217,2022-01-01 14:00:00,19,2722.95,0.26,38284.677,Kolkata,Telangana,Manager_150,54,3729,Store_150,Cosmetics,Dresses,Urbano,2238.51,181,Product_217
16,53,623,2022-01-01 15:00:00,15,605.67,0.09,8267.395499999999,Mumbai,Delhi,Manager_53,23,8758,Store_53,Cosmetics,Jeans,Urbano,708.4,488,Product_623
17,2,353,2022-01-01 16:00:00,18,244.25,0.09,4000.815,Pune,Maharashtra,Manager_2,25,7333,Store_2,Footwear,Sweaters,Zudio,4942.81,164,Product_353
18,88,692,2022-01-01 17:00:00,11,3572.06,0.09,35756.3206,Chennai,Delhi,Manager_88,46,4961,Store_88,Cosmetics,Shirts,Zudio,2286.24,322,Product_692
19,38,675,2022-01-01 18:00:00,9,2122.45,0.14,16427.763,Chennai,Delhi,Manager_38,34,4559,Store_38,Clothing,Shirts,Puma,2340.19,338,Product_675
20,130,631,2022-01-01 19:00:00,1,1582.38,0.0,1582.38,Pune,Karnataka,Manager_130,22,2603,Store_130,Cosmetics,T-Shirts,Puma,4155.78,273,Product_631
21,21,325,2022-01-01 20:00:00,9,2346.46,0.0,21118.14,Kolkata,Maharashtra,Manager_21,51,6512,Store_21,Cosmetics,Sandals,Zudio,1356.57,252,Product_325
22,58,901,2022-01-01 21:00:00,12,547.49,0.22,5124.5064,Pune,Karnataka,Manager_58,15,5500,Store_58,Cosmetics,Perfume,HRX,1596.93,281,Product_901
23,22,1169,2022-01-01 22:00:00,2,2081.52,0.24,3163.9104,Mumbai,Telangana,Manager_22,34,8463,Store_22,Accessories,Boots,HRX,4879.4,460,Product_1169
24,89,308,2022-01-01 23:00:00,11,1710.56,0.06,17687.1904,Bangalore,Tamil Nadu,Manager_89,53,3967,Store_89,Clothing,Boots,Puma,2765.73,149,Product_308
25,49,654,2022-01-02 00:00:00,14,4040.91,0.18,46389.6468,Kolkata,Karnataka,Manager_49,46,5728,Store_49,Accessories,Dresses,Levis,286.0,456,Product_654
26,59,285,2022-01-02 01:00:00,2,1039.3,0.06,1953.884,Kolkata,Tamil Nadu,Manager_59,55,6461,Store_59,Accessories,Shirts,Puma,4984.29,466,Product_285
27,15,392,2022-01-02 02:00:00,15,3830.32,0.22,44814.744000000006,Bangalore,Delhi,Manager_15,32,6903,Store_15,Cosmetics,Shorts,Zudio,290.73,209,Product_392
28,51,360,2022-01-02 03:00:00,18,2601.93,0.13,40746.2238,Chennai,Tamil Nadu,Manager_51,70,3622,Store_51,Clothing,Flip-Flops,HRX,4194.0,123,Product_360
29,108,769,2022-01-02 04:00:00,14,593.06,0.25,6227.13,Pune,West Bengal,Manager_108,74,8086,Store_108,Clothing,Creams,Zudio,4518.95,322,Product_769
30,55,797,2022-01-02 05:00:00,12,4854.46,0.28,41942.5344,Chennai,Karnataka,Manager_55,85,3500,Store_55,Clothing,Lipstick,Urbano,4935.86,243,Product_797
31,64,932,2022-01-02 06:00:00,10,3724.21,0.17,30910.943,Bangalore,Karnataka,Manager_64,73,7489,Store_64,Cosmetics,Perfume,HRX,645.77,219,Product_932
32,131,165,2022-01-02 07:00:00,14,1448.45,0.27,14803.159,Kolkata,Maharashtra,Manager_131,36,2862,Store_131,Kidswear,Boots,Puma,3402.09,430,Product_165
33,51,733,2022-01-02 08:00:00,15,2992.42,0.01,44437.437000000005,Chennai,Tamil Nadu,Manager_51,70,3622,Store_51,Footwear,Shorts,HRX,2260.0,186,Product_733
34,135,581,2022-01-02 09:00:00,5,4519.69,0.14,19434.667,Hyderabad,Tamil Nadu,Manager_135,94,3295,Store_135,Accessories,Boots,HRX,749.78,170,Product_581
35,21,821,2022-01-02 10:00:00,2,4667.87,0.15,7935.379,Kolkata,Maharashtra,Manager_21,51,6512,Store_21,Footwear,Sandals,Levis,1873.11,446,Product_821
36,73,124,2022-01-02 11:00:00,6,3709.56,0.12,19586.4768,Delhi,Tamil Nadu,Manager_73,39,5661,Store_73,Accessories,Jewelry,Puma,2753.79,386,Product_124
37,18,344,2022-01-02 12:00:00,12,3692.82,0.09,40325.5944,Pune,Tamil Nadu,Manager_18,40,8602,Store_18,Clothing,Sandals,HRX,2136.83,417,Product_344
38,132,524,2022-01-02 13:00:00,2,1531.33,0.22,2388.8748,Kolkata,West Bengal,Manager_132,55,5741,Store_132,Footwear,Belts,Zudio,675.35,54,Product_524
39,89,1076,2022-01-02 14:00:00,4,4950.86,0.17,16436.855199999998,Bangalore,Tamil Nadu,Manager_89,53,3967,Store_89,Clothing,Jackets,Puma,2162.52,393,Product_1076
40,60,129,2022-01-02 15:00:00,7,1368.71,0.02,9389.350600000002,Bangalore,Karnataka,Manager_60,86,5133,Store_60,Cosmetics,Frocks,HRX,4926.31,236,Product_129
41,14,1159,2022-01-02 16:00:00,16,629.15,0.29,7147.143999999999,Hyderabad,Telangana,Manager_14,95,8754,Store_14,Footwear,Jewelry,Urbano,2220.16,92,Product_1159
42,9,657,2022-01-02 17:00:00,1,4891.42,0.27,3570.7366,Kolkata,West Bengal,Manager_9,95,3125,Store_9,Clothing,Perfume,HRX,754.88,314,Product_657
43,90,1151,2022-01-02 18:00:00,1,933.66,0.11,830.9574,Bangalore,Maharashtra,Manager_90,32,6170,Store_90,Footwear,Flip-Flops,Puma,4345.75,427,Product_1151
44,53,738,2022-01-02 19:00:00,14,2703.74,0.07,35202.6948,Mumbai,Delhi,Manager_53,23,8758,Store_53,Clothing,Belts,Puma,1529.11,372,Product_738
45,130,939,2022-01-02 20:00:00,11,2447.57,0.19,21807.8487,Pune,Karnataka,Manager_130,22,2603,Store_130,Footwear,Sandals,Zudio,3575.71,436,Product_939
46,84,71,2022-01-02 21:00:00,12,4271.39,0.01,50744.11320000001,Delhi,Telangana,Manager_84,67,2961,Store_84,Accessories,Watches,HRX,4486.31,103,Product_71
47,92,273,2022-01-02 22:00:00,11,2103.96,0.15,19672.026,Kolkata,Maharashtra,Manager_92,94,8180,Store_92,Kidswear,Jackets,Puma,2832.72,148,Product_273
48,111,1027,2022-01-02 23:00:00,6,2610.47,0.2,12530.256,Delhi,West Bengal,Manager_111,18,6789,Store_111,Kidswear,Dresses,HRX,3996.2,317,Product_1027
49,8,22,2022-01-03 00:00:00,12,409.94,0.12,4328.9664,Hyderabad,Delhi,Manager_8,86,9871,Store_8,Kidswear,Flip-Flops,Puma,3809.51,94,Product_22
50,35,166,2022-01-03 01:00:00,12,1197.62,0.29,10203.7224,Pune,Delhi,Manager_35,30,7254,Store_35,Kidswear,Jewelry,Urbano,4036.51,272,Product_166
51,81,875,2022-01-03 02:00:00,10,4198.38,0.22,32747.364000000005,Mumbai,Telangana,Manager_81,53,7808,Store_81,Clothing,Jackets,HRX,1240.56,330,Product_875
52,50,498,2022-01-03 03:00:00,8,2496.13,0.28,14377.7088,Kolkata,Telangana,Manager_50,49,7748,Store_50,Clothing,Jeans,Zudio,4369.87,210,Product_498
53,104,434,2022-01-03 04:00:00,19,1308.47,0.27,18148.4789,Kolkata,Maharashtra,Manager_104,38,3844,Store_104,Cosmetics,Foundation,Zudio,494.75,85,Product_434
54,132,758,2022-01-03 05:00:00,7,1970.76,0.04,13243.5072,Kolkata,West Bengal,Manager_132,55,5741,Store_132,Accessories,Sandals,Zudio,553.63,485,Product_758
55,2,234,2022-01-03 06:00:00,14,1568.46,0.2,17566.752000000004,Pune,Maharashtra,Manager_2,25,7333,Store_2,Clothing,Sandals,Puma,3225.0,288,Product_234
56,134,837,2022-01-03 07:00:00,4,2869.86,0.18,9413.1408,Kolkata,Maharashtra,Manager_134,12,8758,Store_134,Kidswear,Shorts,Zudio,2316.14,197,Product_837
57,54,663,2022-01-03 08:00:00,1,446.94,0.02,438.0012,Kolkata,Maharashtra,Manager_54,45,9470,Store_54,Accessories,Perfume,HRX,3894.95,287,Product_663
58,106,725,2022-01-03 09:00:00,8,1279.86,0.1,9214.992,Delhi,Tamil Nadu,Manager_106,95,9093,Store_106,Cosmetics,Perfume,HRX,4633.65,198,Product_725
59,4,376,2022-01-03 10:00:00,5,1903.83,0.16,7996.085999999999,Mumbai,Telangana,Manager_4,96,8968,Store_4,Kidswear,Lipstick,Levis,2020.83,471,Product_376
60,54,730,2022-01-03 11:00:00,8,4655.43,0.16,31284.4896,Kolkata,Maharashtra,Manager_54,45,9470,Store_54,Cosmetics,Lipstick,Zudio,1678.61,310,Product_730
61,146,303,2022-01-03 12:00:00,8,3191.74,0.24,19405.7792,Delhi,Karnataka,Manager_146,81,9804,Store_146,Clothing,Sneakers,HRX,3781.49,266,Product_303
62,44,405,2022-01-03 13:00:00,7,2620.42,0.18,15041.210800000004,Mumbai,Telangana,Manager_44,21,2565,Store_44,Cosmetics,Belts,HRX,2660.19,373,Product_405
63,14,708,2022-01-03 14:00:00,19,1115.95,0.14,18234.623,Hyderabad,Telangana,Manager_14,95,8754,Store_14,Accessories,Shirts,Levis,3683.35,362,Product_708
64,95,917,2022-01-03 15:00:00,4,2877.69,0.23,8863.2852,Mumbai,Maharashtra,Manager_95,85,9962,Store_95,Footwear,Creams,Urbano,1218.17,459,Product_917
65,48,21,2022-01-03 16:00:00,6,4659.25,0.17,23203.065,Delhi,Delhi,Manager_48,29,5257,Store_48,Clothing,Lipstick,Puma,1943.45,281,Product_21
66,15,257,2022-01-03 17:00:00,12,2918.28,0.27,25564.1328,Bangalore,Delhi,Manager_15,32,6903,Store_15,Cosmetics,T-Shirts,HRX,2180.43,222,Product_257
67,40,399,2022-01-03 18:00:00,18,990.92,0.27,13020.688799999998,Pune,Karnataka,Manager_40,72,8980,Store_40,Footwear,Creams,HRX,1105.39,420,Product_399
68,82,51,2022-01-03 19:00:00,12,4986.17,0.18,49063.912800000006,Bangalore,Tamil Nadu,Manager_82,76,6665,Store_82,Accessories,Boots,HRX,3243.93,240,Product_51
69,111,447,2022-01-03 20:00:00,18,2594.52,0.17,38762.1288,Delhi,West Bengal,Manager_111,18,6789,Store_111,Cosmetics,Sneakers,HRX,2171.81,464,Product_447
70,53,827,2022-01-03 21:00:00,3,1733.87,0.21,4109.2719,Mumbai,Delhi,Manager_53,23,8758,Store_53,Clothing,Creams,Puma,4569.56,361,Product_827
71,24,595,2022-01-03 22:00:00,10,2616.21,0.22,20406.438,Bangalore,Delhi,Manager_24,32,9818,Store_24,Cosmetics,Sandals,Zudio,2690.67,474,Product_595
72,124,818,2022-01-03 23:00:00,7,1465.72,0.22,8002.8312,Pune,Tamil Nadu,Manager_124,49,6919,Store_124,Clothing,Foundation,Levis,1174.05,64,Product_818
73,41,636,2022-01-04 00:00:00,3,345.79,0.19,840.2697000000002,Chennai,Tamil Nadu,Manager_41,29,4638,Store_41,Kidswear,T-Shirts,Urbano,3999.89,78,Product_636
74,15,1073,2022-01-04 01:00:00,19,4469.7,0.23,65391.711,Bangalore,Delhi,Manager_15,32,6903,Store_15,Cosmetics,Jeans,Urbano,4151.47,471,Product_1073
75,45,1142,2022-01-04 02:00:00,13,2258.6,0.04,28187.328,Mumbai,Karnataka,Manager_45,41,3224,Store_45,Cosmetics,Dresses,Levis,3619.01,234,Product_1142
76,65,775,2022-01-04 03:00:00,4,3813.88,0.25,11441.64,Pune,West Bengal,Manager_65,53,6748,Store_65,Accessories,Lipstick,Zudio,3381.28,370,Product_775
77,89,973,2022-01-04 04:00:00,10,4862.03,0.09,44244.473,Bangalore,Tamil Nadu,Manager_89,53,3967,Store_89,Accessories,Jackets,Zudio,4024.87,486,Product_973
78,71,397,2022-01-04 05:00:00,6,3236.42,0.27,14175.5196,Hyderabad,Maharashtra,Manager_71,60,8383,Store_71,Accessories,Jeans,Urbano,4447.64,381,Product_397
79,9,683,2022-01-04 06:00:00,1,3519.76,0.04,3378.9696,Kolkata,West Bengal,Manager_9,95,3125,Store_9,Kidswear,Frocks,Urbano,1402.17,275,Product_683
80,88,1051,2022-01-04 07:00:00,6,4727.56,0.0,28365.36,Chennai,Delhi,Manager_88,46,4961,Store_88,Footwear,Foundation,HRX,258.14,280,Product_1051
81,129,711,2022-01-04 08:00:00,8,2679.46,0.0,21435.68,Pune,Delhi,Manager_129,57,4550,Store_129,Cosmetics,Sneakers,Levis,1547.53,460,Product_711
82,136,1121,2022-01-04 09:00:00,15,1735.52,0.06,24470.832,Delhi,Maharashtra,Manager_136,70,3181,Store_136,Clothing,Shirts,Puma,1234.41,131,Product_1121
83,63,529,2022-01-04 10:00:00,8,4622.64,0.03,35871.6864,Mumbai,Karnataka,Manager_63,32,9114,Store_63,Clothing,Watches,HRX,882.84,331,Product_529
84,139,685,2022-01-04 11:00:00,6,531.17,0.17,2645.2265999999995,Mumbai,Tamil Nadu,Manager_139,26,6536,Store_139,Cosmetics,Frocks,Zudio,3933.58,96,Product_685
85,81,613,2022-01-04 12:00:00,19,1230.12,0.13,20333.8836,Mumbai,Telangana,Manager_81,53,7808,Store_81,Kidswear,Watches,Zudio,3845.83,198,Product_613
86,136,186,2022-01-04 13:00:00,14,1838.07,0.18,21101.0436,Delhi,Maharashtra,Manager_136,70,3181,Store_136,Clothing,Jackets,Puma,2305.69,216,Product_186
87,33,696,2022-01-04 14:00:00,2,3954.14,0.06,7433.783199999999,Bangalore,West Bengal,Manager_33,23,3579,Store_33,Kidswear,Foundation,Urbano,4633.04,82,Product_696
88,123,215,2022-01-04 15:00:00,7,4538.73,0.23,24463.7547,Delhi,West Bengal,Manager_123,47,9643,Store_123,Kidswear,Sandals,HRX,2169.75,133,Product_215
89,5,216,2022-01-04 16:00:00,8,2368.58,0.18,15537.8848,Kolkata,Tamil Nadu,Manager_5,61,9728,Store_5,Kidswear,Lipstick,Urbano,4265.04,139,Product_216
90,41,29,2022-01-04 17:00:00,10,1573.41,0.07,14632.713,Chennai,Tamil Nadu,Manager_41,29,4638,Store_41,Kidswear,Sneakers,Zudio,4640.11,442,Product_29
91,28,102,2022-01-04 18:00:00,13,1895.41,0.12,21683.4904,Mumbai,Maharashtra,Manager_28,14,8231,Store_28,Footwear,Flip-Flops,Zudio,2200.69,88,Product_102
92,135,123,2022-01-04 19:00:00,1,3351.43,0.22,2614.1154,Hyderabad,Tamil Nadu,Manager_135,94,3295,Store_135,Kidswear,Creams,HRX,3626.78,255,Product_123
93,72,54,2022-01-04 20:00:00,9,958.43,0.2,6900.696,Bangalore,Tamil Nadu,Manager_72,72,6464,Store_72,Accessories,Perfume,Urbano,708.82,59,Product_54
94,12,1141,2022-01-04 21:00:00,10,2827.67,0.17,23469.661,Chennai,Telangana,Manager_12,74,8717,Store_12,Footwear,Lipstick,Urbano,1109.43,115,Product_1141
95,33,616,2022-01-04 22:00:00,2,3024.53,0.29,4294.8326,Bangalore,West Bengal,Manager_33,23,3579,Store_33,Cosmetics,Foundation,Zudio,4441.36,328,Product_616
96,48,557,2022-01-04 23:00:00,11,3597.71,0.04,37991.8176,Delhi,Delhi,Manager_48,29,5257,Store_48,Footwear,Bags,Urbano,3544.09,370,Product_557
97,62,114,2022-01-05 00:00:00,5,3098.71,0.15,13169.5175,Kolkata,West Bengal,Manager_62,92,4172,Store_62,Cosmetics,Shirts,Urbano,1012.3,69,Product_114
98,37,855,2022-01-05 01:00:00,18,665.39,0.19,9701.3862,Delhi,Telangana,Manager_37,98,8109,Store_37,Kidswear,Jeans,HRX,856.17,481,Product_855
99,99,676,2022-01-05 02:00:00,7,3506.23,0.3,17180.527,Chennai,Maharashtra,Manager_99,56,4485,Store_99,Footwear,Sweaters,Puma,3265.7,353,Product_676
100,104,977,2022-01-05 03:00:00,3,304.39,0.16,767.0627999999999,Kolkata,Maharashtra,Manager_104,38,3844,Store_104,Accessories,Belts,Urbano,443.25,290,Product_977
101,35,701,2022-01-05 04:00:00,16,2073.48,0.13,28862.8416,Pune,Delhi,Manager_35,30,7254,Store_35,Clothing,Belts,Puma,2441.61,453,Product_701
102,101,292,2022-01-05 05:00:00,15,2201.9,0.28,23780.52,Kolkata,Delhi,Manager_101,74,6805,Store_101,Cosmetics,Jackets,Zudio,1820.35,249,Product_292
103,131,261,2022-01-05 06:00:00,8,759.83,0.15,5166.844,Kolkata,Maharashtra,Manager_131,36,2862,Store_131,Accessories,Perfume,Puma,282.98,227,Product_261
104,1,564,2022-01-05 07:00:00,5,247.31,0.28,890.3159999999999,Hyderabad,Delhi,Manager_1,45,4522,Store_1,Kidswear,Lipstick,Zudio,3442.56,67,Product_564
105,5,49,2022-01-05 08:00:00,3,541.58,0.23,1251.0498000000002,Kolkata,Tamil Nadu,Manager_5,61,9728,Store_5,Kidswear,Lipstick,Zudio,3338.18,222,Product_49
106,142,1030,2022-01-05 09:00:00,5,2342.24,0.05,11125.639999999998,Bangalore,Delhi,Manager_142,81,7787,Store_142,Kidswear,Foundation,Puma,3328.02,287,Product_1030
107,103,379,2022-01-05 10:00:00,9,1353.7,0.05,11574.135,Kolkata,Karnataka,Manager_103,72,3396,Store_103,Kidswear,Bags,Levis,3608.38,419,Product_379
108,27,224,2022-01-05 11:00:00,16,531.11,0.1,7647.984,Delhi,Delhi,Manager_27,46,5180,Store_27,Clothing,Shorts,Urbano,2811.81,376,Product_224
109,137,1047,2022-01-05 12:00:00,14,1430.75,0.02,19629.89,Pune,West Bengal,Manager_137,81,4627,Store_137,Kidswear,Shirts,HRX,1628.66,230,Product_1047
110,15,1008,2022-01-05 13:00:00,18,2738.35,0.16,41403.85199999999,Bangalore,Delhi,Manager_15,32,6903,Store_15,Kidswear,T-Shirts,Levis,2497.41,83,Product_1008
111,90,657,2022-01-05 14:00:00,7,3762.27,0.26,19488.5586,Bangalore,Maharashtra,Manager_90,32,6170,Store_90,Clothing,Perfume,HRX,754.88,314,Product_657
112,42,110,2022-01-05 15:00:00,15,2177.61,0.12,28744.452,Bangalore,Tamil Nadu,Manager_42,72,8554,Store_42,Kidswear,Dresses,Urbano,1721.37,292,Product_110
113,124,724,2022-01-05 16:00:00,8,3143.12,0.19,20367.4176,Pune,Tamil Nadu,Manager_124,49,6919,Store_124,Accessories,Jackets,Urbano,3258.91,393,Product_724
114,63,553,2022-01-05 17:00:00,3,3064.47,0.29,6527.321099999999,Mumbai,Karnataka,Manager_63,32,9114,Store_63,Cosmetics,T-Shirts,Urbano,2988.31,240,Product_553
115,96,1196,2022-01-05 18:00:00,11,4502.31,0.06,46553.8854,Bangalore,Telangana,Manager_96,22,5989,Store_96,Accessories,Shirts,Urbano,737.38,254,Product_1196
116,52,1006,2022-01-05 19:00:00,18,1061.09,0.11,16998.661799999998,Hyderabad,West Bengal,Manager_52,65,3325,Store_52,Footwear,Foundation,Puma,857.05,332,Product_1006
117,96,698,2022-01-05 20:00:00,15,2486.87,0.01,36930.0195,Bangalore,Telangana,Manager_96,22,5989,Store_96,Kidswear,Sweaters,Puma,4684.35,369,Product_698
118,132,726,2022-01-05 21:00:00,10,3232.78,0.07,30064.854,Kolkata,West Bengal,Manager_132,55,5741,Store_132,Kidswear,Flip-Flops,Zudio,3650.45,279,Product_726
119,143,306,2022-01-05 22:00:00,3,2694.67,0.23,6224.6877,Delhi,Delhi,Manager_143,47,8612,Store_143,Clothing,Sandals,HRX,3134.95,354,Product_306
120,29,959,2022-01-05 23:00:00,15,2361.64,0.2,28339.68,Chennai,West Bengal,Manager_29,20,4753,Store_29,Clothing,Watches,Puma,3391.48,499,Product_959
121,36,954,2022-01-06 00:00:00,6,4872.6,0.24,22219.056,Kolkata,Delhi,Manager_36,35,7086,Store_36,Footwear,Perfume,HRX,203.15,385,Product_954
122,13,1175,2022-01-06 01:00:00,11,4721.67,0.13,45186.3819,Chennai,Tamil Nadu,Manager_13,60,3824,Store_13,Footwear,Lipstick,HRX,1237.24,284,Product_1175
123,71,621,2022-01-06 02:00:00,11,3134.99,0.22,26898.2142,Hyderabad,Maharashtra,Manager_71,60,8383,Store_71,Footwear,Watches,Puma,1757.6,450,Product_621
124,86,630,2022-01-06 03:00:00,19,2309.96,0.18,35989.1768,Chennai,Delhi,Manager_86,51,6256,Store_86,Kidswear,Jeans,Levis,3607.87,192,Product_630
125,28,877,2022-01-06 04:00:00,3,3825.83,0.1,10329.741,Mumbai,Maharashtra,Manager_28,14,8231,Store_28,Cosmetics,Sneakers,Zudio,3796.86,250,Product_877
126,66,556,2022-01-06 05:00:00,13,2662.09,0.12,30454.3096,Delhi,Telangana,Manager_66,20,9435,Store_66,Footwear,Boots,Zudio,412.51,99,Product_556
127,45,67,2022-01-06 06:00:00,8,4978.73,0.16,33457.065599999994,Mumbai,Karnataka,Manager_45,41,3224,Store_45,Clothing,Sneakers,Puma,1703.24,265,Product_67
128,62,1180,2022-01-06 07:00:00,11,3492.5,0.29,27276.425,Kolkata,West Bengal,Manager_62,92,4172,Store_62,Accessories,Shirts,Levis,1808.79,178,Product_1180
129,134,835,2022-01-06 08:00:00,11,527.17,0.28,4175.1864,Kolkata,Maharashtra,Manager_134,12,8758,Store_134,Footwear,Jewelry,Urbano,1314.38,401,Product_835
130,28,206,2022-01-06 09:00:00,13,2129.17,0.3,19375.447,Mumbai,Maharashtra,Manager_28,14,8231,Store_28,Footwear,Sneakers,Urbano,2576.94,287,Product_206
131,28,786,2022-01-06 10:00:00,3,3705.27,0.0,11115.81,Mumbai,Maharashtra,Manager_28,14,8231,Store_28,Kidswear,Jewelry,HRX,3211.28,499,Product_786
132,108,155,2022-01-06 11:00:00,6,4243.37,0.22,19858.9716,Pune,West Bengal,Manager_108,74,8086,Store_108,Clothing,Shirts,Levis,2235.68,465,Product_155
133,44,1098,2022-01-06 12:00:00,10,4104.17,0.27,29960.441,Mumbai,Telangana,Manager_44,21,2565,Store_44,Footwear,T-Shirts,Urbano,2421.23,408,Product_1098
134,84,1073,2022-01-06 13:00:00,19,4890.74,0.22,72480.7668,Delhi,Telangana,Manager_84,67,2961,Store_84,Cosmetics,Jeans,Urbano,4151.47,471,Product_1073
135,30,783,2022-01-06 14:00:00,12,2547.78,0.12,26904.5568,Chennai,Maharashtra,Manager_30,21,4052,Store_30,Footwear,Dresses,Levis,3034.61,370,Product_783
136,75,585,2022-01-06 15:00:00,14,872.32,0.22,9525.7344,Kolkata,Delhi,Manager_75,97,2212,Store_75,Cosmetics,Bags,Zudio,4406.64,216,Product_585
137,128,708,2022-01-06 16:00:00,11,3330.77,0.13,31875.4689,Chennai,Delhi,Manager_128,75,6875,Store_128,Accessories,Shirts,Levis,3683.35,362,Product_708
138,92,179,2022-01-06 17:00:00,10,539.59,0.21,4262.761,Kolkata,Maharashtra,Manager_92,94,8180,Store_92,Footwear,Shirts,HRX,3186.04,474,Product_179
139,129,1072,2022-01-06 18:00:00,3,4872.91,0.23,11256.4221,Pune,Delhi,Manager_129,57,4550,Store_129,Accessories,Shirts,Puma,3964.93,78,Product_1072
140,121,1096,2022-01-06 19:00:00,13,3840.96,0.25,37449.36,Delhi,Karnataka,Manager_121,61,6188,Store_121,Cosmetics,Watches,Puma,3816.99,334,Product_1096
141,27,113,2022-01-06 20:00:00,18,4914.31,0.22,68996.9124,Delhi,Delhi,Manager_27,46,5180,Store_27,Footwear,Sneakers,Zudio,1767.34,381,Product_113
142,121,757,2022-01-06 21:00:00,13,2010.81,0.05,24833.5035,Delhi,Karnataka,Manager_121,61,6188,Store_121,Kidswear,Shirts,Levis,4193.38,497,Product_757
143,116,897,2022-01-06 22:00:00,14,275.82,0.28,2780.2656,Hyderabad,Tamil Nadu,Manager_116,95,4217,Store_116,Kidswear,Bags,Urbano,4391.64,301,Product_897
144,3,821,2022-01-06 23:00:00,14,2702.19,0.06,35560.820400000004,Pune,Tamil Nadu,Manager_3,69,8978,Store_3,Footwear,Sandals,Levis,1873.11,446,Product_821
145,103,159,2022-01-07 00:00:00,7,781.68,0.11,4869.8664,Kolkata,Karnataka,Manager_103,72,3396,Store_103,Accessories,Belts,HRX,2579.9,490,Product_159
146,137,786,2022-01-07 01:00:00,12,3462.21,0.13,36145.472400000006,Pune,West Bengal,Manager_137,81,4627,Store_137,Kidswear,Jewelry,HRX,3211.28,499,Product_786
147,62,1054,2022-01-07 02:00:00,4,2588.25,0.21,8178.870000000001,Kolkata,West Bengal,Manager_62,92,4172,Store_62,Kidswear,Sneakers,Zudio,796.07,372,Product_1054
148,51,1121,2022-01-07 03:00:00,16,3816.55,0.21,48241.192,Chennai,Tamil Nadu,Manager_51,70,3622,Store_51,Clothing,Shirts,Puma,1234.41,131,Product_1121
149,59,251,2022-01-07 04:00:00,19,1597.13,0.29,21545.2837,Kolkata,Tamil Nadu,Manager_59,55,6461,Store_59,Accessories,Watches,Urbano,4540.16,371,Product_251
150,118,1116,2022-01-07 05:00:00,10,4179.99,0.06,39291.906,Chennai,Tamil Nadu,Manager_118,96,6095,Store_118,Clothing,Shorts,Zudio,2799.45,474,Product_1116
151,96,113,2022-01-07 06:00:00,16,3323.94,0.14,45737.4144,Bangalore,Telangana,Manager_96,22,5989,Store_96,Footwear,Sneakers,Zudio,1767.34,381,Product_113
